X,Y,Index_,premisetype
-79.4200058,43.6439819,6030,Commercial
-79.2049789,43.7826042,6034,Commercial
-79.2912521,43.805687,6041,Commercial
-79.4042053,43.7329025,6045,Commercial
-79.2666626,43.7559013,6049,Commercial
-79.3862915,43.6500893,6058,Commercial
-79.5264206,43.7467422,6062,Commercial
-79.4405899,43.6921501,6063,Commercial
-79.3152466,43.7578735,6068,Commercial
-79.5244141,43.5965309,6074,Commercial
-79.4183578,43.7911758,6075,Commercial
-79.4020309,43.6545105,6097,Commercial
-79.3363495,43.7144051,6905,Commercial
-79.6057281,43.7289314,6615,Commercial
-79.380928,43.6563301,6407,Commercial
-79.2588348,43.7896233,6303,Commercial
-79.1927567,43.7637901,6503,Commercial
-79.39328,43.6483955,6907,Commercial
-79.1927567,43.7637901,6504,Commercial
-79.4775314,43.7664948,6908,Commercial
-79.2591553,43.8132629,6410,Commercial
-79.3886795,43.648201,6910,Commercial
-79.4556808,43.7182617,6307,Commercial
-79.3506165,43.6430931,6621,Commercial
-79.2110519,43.762867,6131,Commercial
-79.2365723,43.788372,6413,Commercial
-79.2942963,43.801815,6507,Commercial
-79.4045181,43.6665268,6713,Commercial
-79.4855194,43.7646942,6715,Commercial
-79.623909,43.7504463,6719,Commercial
-79.5174484,43.6043968,6723,Commercial
-79.4000931,43.644455,6725,Commercial
-79.4032898,43.7291603,6730,Commercial
-79.2110519,43.762867,6132,Commercial
-79.4117661,43.7648163,6622,Commercial
-79.4502792,43.695694,6734,Commercial
-79.5421295,43.7508507,6737,Commercial
-79.5421295,43.7508507,6738,Commercial
-79.4714813,43.7678299,6740,Commercial
-79.473381,43.7742805,6741,Commercial
-79.5,43.7610664,6742,Commercial
-79.39328,43.6483955,6754,Commercial
-79.2488785,43.7031212,6757,Commercial
-79.2488785,43.7031212,6758,Commercial
-79.2940826,43.7173462,6764,Commercial
-79.4206772,43.6592827,6778,Commercial
-79.3297806,43.6820641,6779,Commercial
-79.4589157,43.7320938,6782,Commercial
-79.5042496,43.7044754,6788,Commercial
-79.2275391,43.7961502,6798,Commercial
-79.3788757,43.6606712,6800,Commercial
-79.2489777,43.7917442,6309,Commercial
-79.4023972,43.6431961,6310,Commercial
-79.2110519,43.762867,6133,Commercial
-79.4184723,43.7916489,6510,Commercial
-79.2824097,43.7321167,6312,Commercial
-79.565094,43.7082291,6134,Commercial
-79.3972397,43.6509018,6313,Commercial
-79.2981033,43.7810555,6625,Commercial
-79.4194183,43.7954788,6626,Commercial
-79.30439,43.7795639,6631,Commercial
-79.5361176,43.7110291,6640,Commercial
-79.4298248,43.6495857,6642,Commercial
-79.5076218,43.6002235,6652,Commercial
-79.4020233,43.6581116,6654,Commercial
-79.3886795,43.648201,6664,Commercial
-79.3886795,43.648201,6665,Commercial
-79.3886795,43.648201,6666,Commercial
-79.2324829,43.8131599,6667,Commercial
-79.5132217,43.7393913,6670,Commercial
-79.4124374,43.6648865,6679,Commercial
-79.3805237,43.66465,6681,Commercial
-79.3802795,43.6486511,6682,Commercial
-79.4027023,43.6439285,6684,Commercial
-79.5607681,43.7244873,6685,Commercial
-79.3508835,43.7549629,6691,Commercial
-79.1850357,43.7726097,6136,Commercial
-79.3691483,43.6533813,6814,Commercial
-79.5401764,43.7626762,6920,Commercial
-79.3632431,43.6527328,6426,Commercial
-79.3035202,43.6692657,6428,Commercial
-79.4589157,43.7320938,6442,Commercial
-79.3049927,43.6874847,6446,Commercial
-79.5052719,43.6007652,6447,Commercial
-79.4019852,43.6358986,6451,Commercial
-79.5129089,43.5990868,6456,Commercial
-79.6039124,43.7436447,6463,Commercial
-79.6039124,43.7436447,6464,Commercial
-79.1755447,43.8073387,6472,Commercial
-79.1755447,43.8073387,6473,Commercial
-79.1755447,43.8073387,6474,Commercial
-79.1755447,43.8073387,6475,Commercial
-79.5042496,43.7044754,6487,Commercial
-79.2535248,43.7238808,6493,Commercial
-79.4052811,43.6434021,6220,Commercial
-79.4020233,43.6581116,6318,Commercial
-79.2762833,43.753231,6141,Commercial
-79.4052811,43.6434021,6221,Commercial
-79.397789,43.6522598,6517,Commercial
-79.5770645,43.6902161,6819,Commercial
-79.4482651,43.7248802,6820,Commercial
-79.4482651,43.7248802,6821,Commercial
-79.3202057,43.6840858,6823,Commercial
-79.3860626,43.6552429,6826,Commercial
-79.5113144,43.6983452,6827,Commercial
-79.2388077,43.7195854,6829,Commercial
-79.4781876,43.7596321,6836,Commercial
-79.4340057,43.7373581,6837,Commercial
-79.4535065,43.6756516,6844,Commercial
-79.4188614,43.644207,6848,Commercial
-79.5608902,43.7351189,6855,Commercial
-79.347229,43.7617531,6860,Commercial
-79.3290253,43.7246819,6863,Commercial
-79.1988754,43.7601471,6864,Commercial
-79.4109192,43.65131,6869,Commercial
-79.5843658,43.6392059,6872,Commercial
-79.4537888,43.7097168,6875,Commercial
-79.4045181,43.6665268,6876,Commercial
-79.4780273,43.6440887,6888,Commercial
-79.5113602,43.6473656,6895,Commercial
-79.409996,43.66539,6896,Commercial
